,Year,kWh_per_capita
0,1960,
1,1961,
2,1962,
3,1963,
4,1964,
5,1965,
6,1966,
7,1967,
8,1968,
9,1969,
10,1970,
11,1971,28.57043974
12,1972,32.72775174
13,1973,35.29923043
14,1974,32.84845543
15,1975,45.77565498
16,1976,51.57818039
17,1977,59.17879299
18,1978,60.6883739
19,1979,59.82248235
20,1980,68.05710635
21,1981,50.90103987
22,1982,81.89591854
23,1983,81.73535324
24,1984,62.06356377
25,1985,80.45447504
26,1986,90.88640879
27,1987,89.30352924
28,1988,87.13951419
29,1989,97.07071366
30,1990,87.07894818
31,1991,89.59979699
32,1992,90.05437307
33,1993,100.8853363
34,1994,95.5612729
35,1995,91.48821054
36,1996,85.90497516
37,1997,82.00415692
38,1998,76.96886648
39,1999,75.76719123
40,2000,74.49062162
41,2001,75.56977626
42,2002,104.6610474
43,2003,101.9252137
44,2004,123.6324847
45,2005,129.3270294
46,2006,111.752414
47,2007,138.9094109
48,2008,127.2446128
49,2009,120.6350759
50,2010,136.4262703
51,2011,150.1980242
52,2012,156.7971855
53,2013,142.7292536
54,2014,144.5254622
55,2015,
56,2016,
57,2017,
58,2018,
59,2019,
60,2020,
