Year,Month,Quarter,Ibadan,Sokoto,Port Harcourt
2011,Jan,Q1,152.9544,216.6395,195.3404
2011,Feb,Q1,167.1816,221.9066,173.1943
2011,Mar,Q1,179.9389,244.9392,180.448
2011,Apr,Q2,162.218,242.0993,182.9117
2011,May,Q2,154.397,232.1683,160.7612
2011,Jun,Q2,126.53,189.8827,131.3527
2011,Jul,Q3,90.88166,168.1862,121.4725
2011,Aug,Q3,91.89994,163.3494,114.3021
2011,Sep,Q3,112.588,218.2928,134.7724
2011,Oct,Q4,141.0745,231.2348,141.5836
2011,Nov,Q4,166.8653,259.2857,155.8608
2011,Dec,Q4,186.7699,220.9247,188.9337
2012,Jan,Q1,153.8454,233.9503,169.7561
2012,Feb,Q1,149.9874,236.8866,148.0371
2012,Mar,Q1,171.4956,255.0796,157.5473
2012,Apr,Q2,168.6628,254.1561,155.8032
2012,May,Q2,140.2683,228.6467,175.9798
2012,Jun,Q2,106.2308,198.5635,155.5539
2012,Jul,Q3,98.30663,170.3925,123.297
2012,Aug,Q3,84.72954,163.9434,132.4191
2012,Sep,Q3,102.2412,237.7151,139.4198
2012,Oct,Q4,148.6692,225.507,169.9258
2012,Nov,Q4,149.4159,235.8298,164.1032
2012,Dec,Q4,156.1366,252.3218,183.3756
2013,Jan,Q1,143.9172,241.5025,190.2066
2013,Feb,Q1,152.4786,263.7138,182.1664
2013,Mar,Q1,170.1379,274.2572,190.2914
2013,Apr,Q2,153.0987,246.2206,190.1896
2013,May,Q2,152.318,266.2807,155.0758
2013,Jun,Q2,122.4965,238.1973,118.5945
2013,Jul,Q3,90.37251,204.8868,104.1193
2013,Aug,Q3,91.51808,158.5125,104.4163
2013,Sep,Q3,123.5487,220.8356,103.7318
2013,Oct,Q4,147.5236,196.0405,160.1248
2013,Nov,Q4,159.2367,215.5635,140.6912
2013,Dec,Q4,161.1007,241.7571,180.2359
2014,Jan,Q1,151.5119,260.3407,187.0669
2014,Feb,Q1,165.4435,265.0291,185.4546
2014,Mar,Q1,161.6947,283.3369,149.3904
2014,Apr,Q2,177.256,273.8853,173.354
2014,May,Q2,166.4042,245.7454,155.1183
2014,Jun,Q2,135.6931,251.1309,121.3127
2014,Jul,Q3,99.66434,213.1179,105.4346
2014,Aug,Q3,73.27386,168.3135,109.7623
2014,Sep,Q3,109.8259,233.287,103.2934
2014,Oct,Q4,136.8316,265.9048,159.7854
2014,Nov,Q4,153.5371,289.4494,132.2734
2014,Dec,Q4,170.6895,273.8075,168.4408
2015,Jan,Q1,179.5146,253.1279,188.5943
2015,Feb,Q1,179.7237,308.7152,166.6179
2015,Mar,Q1,175.399,269.7174,169.0348
2015,Apr,Q2,177.2122,293.1761,157.4829
2015,May,Q2,178.2418,274.8512,145.487
2015,Jun,Q2,131.3527,256.4359,124.2063
2015,Jul,Q3,106.962,227.5436,101.6585
2015,Aug,Q3,105.1376,201.4077,112.5626
2015,Sep,Q3,110.3959,218.6873,128.3276
2015,Oct,Q4,132.8434,244.4301,156.8578
2015,Nov,Q4,152.7041,250.2541,187.9975
2015,Dec,Q4,172.3018,209.2145,231.9561
